First Name,Last Name,Gender,Phone Number,ID,Eye Color

Leland,Stanford,Male,650-723-0000,10000001,Blue

Jane,Stanford,Femaile,650-723-2300,10000002,Green

John,Smith,Male,408-555-1250,20000010,Silver

Julia,Franklin,Femaile,202-555-3409,40000043,Brown

Frank,Reynolds,Male,202-555-4523,400000091,Green

Gerald,McCoy,Male,408-5554522,20000034,Brown

Joe,Shmoe,Male,408-5554522,20000035,Green
Joe,Shmoe,Male,408-5554522,20000035,Green
,Shmoe,Male,408-5554522,20000036,Brown
Joe,,Male,408-5554522,20000037,Brown
Joe,Shmoe,male,408-5554522,20000038,Green
Joe,Shmoe,,408-5554522,20000039,Brown
Joe,Shmoe,Male,,20000040,Brown
Joe,Shmoe,Male,408-5554522,,Brown
Joe,Shmoe,Male,408-5554522,20000041,
Joe,Shmoe,Male,AAA-AAA-AAAA,20000042,Green
Joe,Shmoe,Male,(123) 456-7890,20000043,Green
Joe,Shmoe,Male,(123)456-7890,20000044,Green
Joe,Shmoe,Male,123.456.7890,20000045,Green
Joe,Shmoe,Male,+1 123.456.7890,20000046,Green
Joe,Shmoe,Male,456.7890,20000047,Green
Joe,Shmoe,Male,123456789012345,20000048,Green
Joe,Shmoe,Male,12345678901234567890,20000049,Green
Joe+,Shmoe,Male,123456789012345,20000050,Green
Joe,Shmoe2,Male,123456789012345,20000051,Green
J.,Moe-Shmoe,Male,123456789012345,20000052,Green
Joe,Shmoe,Male,123456789012345,a20000053,Green
